Date,Smoke,Clear sky,RD
2020-06-08,28,26,7.69
2020-06-09,26,25,4.0
2020-06-10,28,25,12.0
2020-06-13,30,26,15.38
2020-06-14,29,25,16.0
2020-06-25,30,29,3.45
2020-06-27,26,26,0.0
2020-06-28,27,26,3.85
2020-07-03,25,24,4.17
2020-07-05,29,27,7.41
2020-07-14,28,23,21.74
2020-07-17,27,22,22.73
2020-07-26,24,20,20.0
2020-07-28,29,22,31.82
2020-07-29,28,21,33.33
2020-07-30,24,19,26.32
2020-07-31,29,19,52.63
2020-08-02,25,17,47.06
2020-08-10,21,17,23.53
2020-08-11,25,18,38.89
2020-08-12,26,18,44.44
2020-08-13,22,18,22.22
2020-08-15,20,18,11.11
2020-08-16,24,18,33.33
2020-08-17,22,18,22.22
2020-08-18,22,17,29.41
2020-08-20,22,14,57.14
2020-08-21,21,14,50.0
2020-08-22,22,14,57.14
2020-08-23,20,13,53.85
2020-08-30,17,12,41.67
