Date,vitamin,1/4 MED,1 MED
2019-04-02,11,10,34
2019-04-03,11,10,34
2019-04-04,11,10,35
2019-04-05,11,10,35
2019-04-06,11,10,36
2019-04-07,12,10,36
2019-04-08,12,10,36
2019-04-09,12,10,37
2019-04-10,12,11,37
2019-04-11,12,11,38
2019-04-12,13,11,38
2019-04-13,13,11,39
2019-04-14,13,11,39
2019-04-15,13,11,40
2019-04-16,13,12,41
2019-04-17,14,12,41
2019-04-18,14,12,42
2019-04-19,14,12,42
2019-04-20,14,12,43
2019-04-21,14,12,43
2019-04-22,15,13,44
2019-04-23,15,13,45
2019-04-24,15,13,45
2019-04-25,15,13,46
2019-04-26,16,13,47
2019-04-27,16,14,47
2019-04-28,16,14,48
2019-04-29,17,14,49
2019-04-30,17,14,49
2019-05-01,17,14,50
2019-05-02,17,15,51
2019-05-03,18,15,51
2019-05-04,18,15,52
2019-05-05,18,15,53
2019-05-06,19,15,53
2019-05-07,19,16,54
2019-05-08,19,16,55
2019-05-09,20,16,56
2019-05-10,20,16,56
2019-05-11,20,17,57
2019-05-12,21,17,58
2019-05-13,21,17,59
2019-05-14,21,17,59
2019-05-15,22,18,60
2019-05-16,22,18,61
2019-05-17,22,18,62
2019-05-18,23,18,62
2019-05-19,23,19,63
2019-05-20,23,19,64
2019-05-21,24,19,65
2019-05-22,24,19,65
2019-05-23,24,20,66
2019-05-24,25,20,67
2019-05-25,25,20,67
2019-05-26,25,20,68
2019-05-27,26,20,69
2019-05-28,26,21,69
2019-05-29,26,21,70
2019-05-30,27,21,71
2019-05-31,27,21,71
2019-06-01,27,22,72
2019-06-02,28,22,73
2019-06-03,28,22,73
2019-06-04,28,22,74
2019-06-05,28,22,74
2019-06-06,29,23,75
2019-06-07,29,23,75
2019-06-08,29,23,76
2019-06-09,29,23,76
2019-06-10,30,23,77
2019-06-11,30,23,77
2019-06-12,30,23,77
2019-06-13,30,24,78
2019-06-14,30,24,78
2019-06-15,30,24,78
2019-06-16,31,24,79
2019-06-17,31,24,79
2019-06-18,31,24,79
2019-06-19,31,24,79
2019-06-20,31,24,79
2019-06-21,31,24,79
2019-06-22,31,24,80
2019-06-23,31,24,80
2019-06-24,31,24,80
2019-06-25,31,24,80
2019-06-26,31,24,80
2019-06-27,31,24,79
2019-06-28,31,24,79
2019-06-29,31,24,79
2019-06-30,31,24,79
2019-07-01,31,24,79
2019-07-02,31,24,79
2019-07-03,31,24,78
2019-07-04,31,24,78
2019-07-05,30,24,78
2019-07-06,30,24,77
2019-07-07,30,24,77
2019-07-08,30,23,77
2019-07-09,30,23,76
2019-07-10,29,23,76
2019-07-11,29,23,75
2019-07-12,29,23,75
2019-07-13,29,23,74
2019-07-14,28,22,74
2019-07-15,28,22,73
2019-07-16,28,22,72
2019-07-17,27,22,72
2019-07-18,27,22,71
2019-07-19,27,21,70
2019-07-20,27,21,70
2019-07-21,26,21,69
2019-07-22,26,21,68
2019-07-23,26,20,68
2019-07-24,25,20,67
2019-07-25,25,20,66
2019-07-26,24,20,66
2019-07-27,24,19,65
2019-07-28,24,19,64
2019-07-29,23,19,63
2019-07-30,23,19,63
2019-07-31,23,18,62
2019-08-01,22,18,61
2019-08-02,22,18,60
2019-08-03,22,18,59
2019-08-04,21,17,59
2019-08-05,21,17,58
2019-08-06,20,17,57
2019-08-07,20,17,56
2019-08-08,20,16,55
2019-08-09,19,16,55
2019-08-10,19,16,54
2019-08-11,19,15,53
2019-08-12,18,15,52
2019-08-13,18,15,51
2019-08-14,18,15,51
2019-08-15,17,14,50
2019-08-16,17,14,49
2019-08-17,17,14,48
2019-08-18,16,14,48
2019-08-19,16,14,47
2019-08-20,16,13,46
2019-08-21,15,13,45
2019-08-22,15,13,45
2019-08-23,15,13,44
2019-08-24,14,12,43
2019-08-25,14,12,43
2019-08-26,14,12,42
2019-08-27,14,12,41
2019-08-28,13,12,41
2019-08-29,13,11,40
2019-08-30,13,11,39
2019-08-31,13,11,39
2019-09-01,12,11,38
2019-09-02,12,11,37
2019-09-03,12,10,37
2019-09-04,12,10,36
2019-09-05,11,10,36
2019-09-06,11,10,35
2019-09-07,11,10,35
2019-09-08,11,10,34
2019-09-09,11,9,33
2019-09-10,10,9,33
2019-09-11,10,9,32
2019-09-12,10,9,32
2019-09-13,10,9,31
2019-09-14,10,9,31
2019-09-15,10,9,30
2019-09-16,9,8,30
2019-09-17,9,8,30
2019-09-18,9,8,29
2019-09-19,9,8,29
2019-09-20,9,8,28
2019-09-21,9,8,28
2019-09-22,9,8,28
2019-09-23,8,8,27
2019-09-24,8,7,27
2019-09-25,8,7,26
2019-09-26,8,7,26
2019-09-27,8,7,26
2019-09-28,8,7,25
2019-09-29,8,7,25
2019-09-30,8,7,25
2019-10-01,7,7,24
2019-10-02,7,7,24
2019-10-03,7,7,24
2019-10-04,7,7,24
2019-10-05,7,6,23
2019-10-06,7,6,23
2019-10-07,7,6,23
2019-10-08,7,6,22
2019-10-09,7,6,22
2019-10-10,7,6,22
2019-10-11,7,6,22
2019-10-12,7,6,22
2019-10-13,6,6,21
2019-10-14,6,6,21
2019-10-15,6,6,21
2019-10-16,6,6,21
2019-10-17,6,6,20
2019-10-18,6,6,20
2019-10-19,6,6,20
2019-10-20,6,6,20
2019-10-21,6,5,20
2019-10-22,6,5,20
2019-10-23,6,5,19
2019-10-24,6,5,19
2019-10-25,6,5,19
2019-10-26,6,5,19
2019-10-27,6,5,19
2019-10-28,6,5,19
2019-10-29,6,5,19
2019-10-30,6,5,19
2019-10-31,6,5,18
2019-11-01,6,5,18
2019-11-02,5,5,18
2019-11-03,5,5,18
2019-11-04,5,5,18
2019-11-05,5,5,18
2019-11-06,5,5,18
2019-11-07,5,5,18
2019-11-08,5,5,18
2019-11-09,5,5,18
