Date,vitamin,1/4 MED,1 MED
2019-04-02,11,9,34
2019-04-03,11,10,34
2019-04-04,11,10,35
2019-04-05,12,10,36
2019-04-06,12,10,36
2019-04-07,12,10,36
2019-04-08,12,10,36
2019-04-09,12,10,36
2019-04-10,12,10,37
2019-04-11,12,11,37
2019-04-12,12,11,37
2019-04-13,12,11,38
2019-04-14,13,11,40
2019-04-15,13,11,40
2019-04-16,13,11,40
2019-04-17,13,11,40
2019-04-18,13,12,41
2019-04-19,13,12,41
2019-04-20,14,12,43
2019-04-21,14,12,43
2019-04-22,15,13,45
2019-04-23,16,13,46
2019-04-24,15,13,45
2019-04-25,15,13,45
2019-04-26,15,13,45
2019-04-27,18,14,50
2019-04-28,16,14,47
2019-04-29,16,14,48
2019-04-30,18,15,51
2019-05-01,18,15,52
2019-05-02,18,15,52
2019-05-03,19,15,53
2019-05-04,19,16,55
2019-05-05,19,16,55
2019-05-06,17,15,51
2019-05-07,17,15,50
2019-05-08,18,15,52
2019-05-09,19,16,54
2019-05-10,20,17,57
2019-05-11,21,17,58
2019-05-12,20,17,57
2019-05-13,20,16,56
2019-05-14,20,17,57
2019-05-15,21,17,58
2019-05-16,21,18,60
2019-05-17,21,17,59
2019-05-18,20,17,57
2019-05-19,21,17,59
2019-05-20,22,18,61
2019-05-21,26,20,68
2019-05-22,27,21,70
2019-05-23,30,23,76
2019-05-24,27,21,71
2019-05-25,24,20,66
2019-05-26,26,21,70
2019-05-27,28,22,72
2019-05-28,30,23,76
2019-05-29,26,21,70
2019-05-30,29,22,74
2019-05-31,29,22,74
2019-06-01,29,22,75
2019-06-02,29,23,76
2019-06-03,30,23,77
2019-06-04,30,23,76
2019-06-05,29,23,76
2019-06-06,28,22,74
2019-06-07,29,23,75
2019-06-08,30,23,77
2019-06-09,30,23,78
2019-06-10,30,24,78
2019-06-11,32,25,81
2019-06-12,32,24,80
2019-06-13,33,25,82
2019-06-14,30,24,78
2019-06-15,29,23,76
2019-06-16,28,22,74
2019-06-17,29,23,75
2019-06-18,29,23,75
2019-06-19,28,23,75
2019-06-20,28,22,74
2019-06-21,28,22,73
2019-06-22,30,23,77
2019-06-23,30,23,77
2019-06-24,32,25,81
2019-06-25,34,26,83
2019-06-26,35,26,85
2019-06-27,33,25,83
2019-06-28,35,26,86
2019-06-29,37,27,88
2019-06-30,35,26,86
2019-07-01,40,28,92
2019-07-02,39,28,90
2019-07-03,37,27,88
2019-07-04,39,28,90
2019-07-05,40,29,92
2019-07-06,35,26,85
2019-07-07,31,24,78
2019-07-08,31,24,79
2019-07-09,28,22,74
2019-07-10,30,23,76
2019-07-11,31,24,78
2019-07-12,32,24,79
2019-07-13,31,24,77
2019-07-14,31,24,78
2019-07-15,31,24,78
2019-07-16,29,23,75
2019-07-17,29,23,75
2019-07-18,32,24,79
2019-07-19,32,24,79
2019-07-20,32,24,78
2019-07-21,31,24,78
2019-07-22,34,25,81
2019-07-23,34,25,81
2019-07-24,32,24,78
2019-07-25,34,24,80
2019-07-26,34,24,80
2019-07-27,32,24,78
2019-07-28,31,23,76
2019-07-29,31,23,76
2019-07-30,26,20,68
2019-07-31,25,20,67
2019-08-01,28,21,70
2019-08-02,32,23,76
2019-08-03,28,21,70
2019-08-04,23,18,61
2019-08-05,21,17,59
2019-08-06,20,17,57
2019-08-07,21,17,58
2019-08-08,21,17,58
2019-08-09,25,19,65
2019-08-10,23,18,61
2019-08-11,21,17,58
2019-08-12,22,17,59
2019-08-13,22,17,59
2019-08-14,20,16,56
2019-08-15,20,16,55
2019-08-16,19,15,53
2019-08-17,20,16,55
2019-08-18,20,16,56
2019-08-19,20,16,54
2019-08-20,18,15,52
2019-08-21,19,15,53
2019-08-22,20,16,54
2019-08-23,17,14,48
2019-08-24,18,15,51
2019-08-25,16,13,47
2019-08-26,15,13,45
2019-08-27,16,13,46
2019-08-28,16,13,46
2019-08-29,16,13,46
2019-08-30,19,15,51
2019-08-31,17,14,48
2019-09-01,14,12,42
2019-09-02,15,13,44
2019-09-03,17,13,47
2019-09-04,16,13,45
2019-09-05,15,12,43
2019-09-06,13,11,40
2019-09-07,12,10,37
2019-09-08,14,11,40
2019-09-09,15,12,43
2019-09-10,15,12,43
2019-09-11,12,10,37
2019-09-12,12,10,37
2019-09-13,11,10,35
2019-09-14,11,9,33
2019-09-15,10,9,32
2019-09-16,11,10,35
2019-09-17,11,9,34
2019-09-18,10,9,32
2019-09-19,11,9,33
2019-09-20,11,10,34
2019-09-21,10,9,32
2019-09-22,11,9,33
2019-09-23,11,9,33
2019-09-24,11,9,34
2019-09-25,10,9,32
2019-09-26,9,8,29
2019-09-27,9,8,29
2019-09-28,9,8,29
2019-09-29,9,8,29
2019-09-30,9,8,29
2019-10-01,8,8,27
2019-10-02,9,8,27
2019-10-03,9,8,27
2019-10-04,9,8,28
2019-10-05,8,7,27
2019-10-06,9,8,29
2019-10-07,9,8,28
2019-10-08,9,8,27
2019-10-09,8,7,27
2019-10-10,8,7,26
2019-10-11,8,7,25
2019-10-12,7,7,24
2019-10-13,7,7,24
2019-10-14,7,6,23
2019-10-15,7,6,23
2019-10-16,7,6,23
2019-10-17,8,7,26
2019-10-18,7,6,22
2019-10-19,7,6,21
2019-10-20,7,6,23
2019-10-21,7,6,23
2019-10-22,7,7,24
2019-10-23,8,7,25
2019-10-24,7,6,23
2019-10-25,7,6,22
2019-10-26,7,6,22
2019-10-27,6,6,21
2019-10-28,7,6,23
2019-10-29,7,6,22
2019-10-30,6,6,21
2019-10-31,6,6,21
2019-11-01,6,6,21
2019-11-02,6,6,20
2019-11-03,6,6,20
2019-11-04,6,6,21
2019-11-05,6,6,21
2019-11-06,6,6,21
2019-11-07,6,6,21
2019-11-08,6,6,20
2019-11-09,6,6,20
2019-11-10,6,6,20
2019-11-11,6,5,19
2019-11-12,6,5,18
2019-11-13,5,5,18
2019-11-14,5,5,18
2019-11-15,5,5,17
2019-11-16,6,5,19
2019-11-17,6,6,20
2019-11-18,6,6,20
2019-11-19,6,5,20
2019-11-20,6,5,19
2019-11-21,5,5,17
2019-11-22,5,5,18
2019-11-23,5,5,17
2019-11-24,5,5,17
2019-11-25,5,5,18
2019-11-26,5,5,18
2019-11-27,6,5,20
2019-11-28,6,5,19
2019-11-29,5,5,18
2019-11-30,6,5,18
2019-12-01,6,5,18
2019-12-02,6,5,19
2019-12-03,6,5,19
2019-12-04,6,5,20
2019-12-05,6,5,20
2019-12-06,6,5,19
2019-12-07,6,5,19
2019-12-08,6,5,19
2019-12-09,6,5,19
2019-12-10,6,5,19
2019-12-11,6,5,19
2019-12-12,6,5,19
2019-12-13,5,5,18
2019-12-14,5,5,17
2019-12-15,6,5,20
2019-12-16,6,5,20
2019-12-17,6,5,20
2019-12-18,6,5,19
2019-12-19,5,5,18
2019-12-20,6,5,19
2019-12-21,6,6,20
2019-12-22,6,6,20
2019-12-23,6,5,18
2019-12-24,6,5,18
2019-12-25,5,5,18
2019-12-26,5,5,18
2019-12-27,5,5,17
2019-12-28,5,5,17
2019-12-29,5,5,16
2019-12-30,5,5,17
2019-12-31,5,5,18
2020-01-01,5,5,18
2020-01-02,5,5,18
2020-01-03,5,5,18
2020-01-04,5,5,18
2020-01-05,5,5,18
2020-01-06,6,5,20
2020-01-07,6,5,19
2020-01-08,6,5,19
2020-01-09,6,5,18
2020-01-10,5,5,18
2020-01-11,5,5,18
2020-01-12,5,5,18
2020-01-13,6,5,18
2020-01-14,6,5,18
2020-01-15,6,5,19
2020-01-16,6,5,19
2020-01-17,6,5,19
2020-01-18,6,5,20
2020-01-19,6,5,19
2020-01-20,6,5,19
2020-01-21,6,5,19
2020-01-22,6,5,19
2020-01-23,6,5,19
2020-01-24,6,5,20
2020-01-25,6,6,20
2020-01-26,6,6,21
2020-01-27,7,6,21
2020-01-28,6,6,21
2020-01-29,6,6,20
2020-01-30,7,6,23
2020-01-31,7,6,22
2020-02-01,6,6,21
2020-02-02,6,6,21
2020-02-03,6,6,20
2020-02-04,6,6,20
2020-02-05,6,6,20
2020-02-06,7,6,21
2020-02-07,6,6,20
2020-02-08,6,6,21
2020-02-09,6,6,21
2020-02-10,7,6,23
2020-02-11,7,6,23
2020-02-12,7,6,22
2020-02-13,7,6,22
2020-02-14,7,6,22
2020-02-15,7,6,23
2020-02-16,7,6,22
2020-02-17,7,6,21
2020-02-18,7,6,22
2020-02-19,7,6,22
2020-02-20,7,6,23
2020-02-21,7,7,24
2020-02-22,8,7,25
2020-02-23,8,7,26
2020-02-24,8,7,25
2020-02-25,8,7,27
2020-02-26,8,7,26
2020-02-27,8,7,26
2020-02-28,8,7,26
2020-02-29,8,7,26
2020-03-01,8,7,26
2020-03-02,8,7,25
2020-03-03,8,7,26
2020-03-04,8,7,25
2020-03-05,8,7,26
2020-03-06,8,8,27
2020-03-07,9,8,27
2020-03-08,9,8,27
