Date,Maximum
2020-06-25,4
2020-06-27,4
2020-07-03,4
2020-07-05,4
2020-07-06,4
2020-07-14,4
2020-07-25,5
2020-07-28,5
2020-07-29,5
2020-07-30,5
2020-08-02,4
2020-08-10,5
2020-08-11,5
2020-08-12,5
2020-08-13,5
2020-08-15,6
2020-08-16,5
2020-08-17,6
2020-08-18,5
2020-08-20,6
2020-08-21,6
2020-08-22,5
2020-08-23,6
2020-08-30,7
2020-09-05,7
2020-09-07,7
2020-09-10,8
2020-09-14,7
2020-09-18,7
2020-09-19,7
2020-09-20,7
2020-09-21,8
2020-09-23,6
2020-09-28,8
2020-09-29,7
2020-09-30,7
