Date,Ozone,AOD,RD
2020-05-12,260.000,0.016,9.82
2020-05-13,260.000,0.004,9.05
2020-05-18,260.000,0.016,9.62
2020-05-29,260.000,0.008,9.30
2020-06-08,260.000,0.250,-5.94
2020-06-09,260.000,0.438,-15.61
2020-06-10,260.000,0.312,-10.06
2020-06-13,260.000,0.375,-14.16
2020-06-14,260.000,0.500,-20.06
2020-06-25,260.000,0.250,-2.48
2020-06-27,260.000,0.250,-8.32
2020-06-28,260.000,0.344,-15.41
2020-07-03,260.000,0.375,-14.97
2020-07-05,260.000,0.438,-14.16
2020-07-14,260.000,0.438,-15.76
2020-07-17,260.000,0.375,-10.12
2020-07-26,260.000,0.250,-4.11
2020-07-28,260.000,0.625,-15.11
2020-07-29,260.000,0.688,-14.40
2020-07-30,260.000,0.750,-24.64
2020-07-31,260.000,1.156,-24.97
2020-08-02,260.000,0.750,2.27
2020-08-10,260.000,0.531,-9.58
2020-08-11,260.000,0.500,0.35
2020-08-12,260.000,0.750,-0.83
2020-08-13,260.000,0.750,3.63
2020-08-15,260.000,0.500,9.54
2020-08-16,260.000,0.781,10.00
2020-08-17,260.000,0.750,1.66
2020-08-18,260.000,0.875,4.97
2020-08-20,260.000,1.000,-19.30
2020-08-21,260.000,0.500,-0.11
2020-08-22,260.000,1.000,-14.74
2020-08-23,260.000,0.500,5.28
2020-08-30,260.000,0.375,4.71
2020-09-05,260.000,0.750,-0.13
2020-09-07,260.000,0.750,9.14
2020-09-10,260.000,0.438,9.25
2020-09-14,260.000,0.562,10.22
2020-09-18,260.000,0.625,10.78
2020-09-19,260.000,0.469,10.38
2020-09-20,260.000,0.531,9.97
2020-09-21,260.000,0.531,9.74
2020-09-23,260.000,1.000,10.49
2020-09-28,260.000,0.375,10.47
2020-09-29,260.000,0.500,9.34
2020-09-30,260.000,0.938,9.50
