Hour,Data
6.0,0.0
6.0833,0.0
6.1667,0.0
6.25,0.0
6.3333,0.0
6.4167,0.0
6.5,0.0
6.5833,0.0
6.6667,0.0
6.75,0.0
6.8333,0.0
6.9167,0.0
7.0,0.0
7.0833,0.0
7.1667,0.0
7.25,0.0
7.3333,2.89e-26
7.4167,2.12e-11
7.5,3.697e-08
7.5833,1.964e-06
7.6667,1.028e-05
7.75,3.202e-05
7.8333,7.339e-05
7.9167,0.0001426
8.0,0.0002347
8.0833,0.000362
8.1667,0.0005225
8.25,0.0007171
8.3333,0.0009548
8.4167,0.001243
8.5,0.001592
8.5833,0.002011
8.6667,0.002513
8.75,0.003107
8.8333,0.003807
8.9167,0.004621
9.0,0.00556
9.0833,0.006632
9.1667,0.007846
9.25,0.009208
9.3333,0.01072
9.4167,0.0124
9.5,0.01423
9.5833,0.01623
9.6667,0.01839
9.75,0.02071
9.8333,0.02319
9.9167,0.02582
10.0,0.02861
10.0833,0.03154
10.1667,0.03461
10.25,0.0378
10.3333,0.04112
10.4167,0.04454
10.5,0.04806
10.5833,0.05166
10.6667,0.05534
10.75,0.05907
10.8333,0.06285
10.9167,0.06666
11.0,0.07048
11.0833,0.0743
11.1667,0.0781
11.25,0.08188
11.3333,0.0856
11.4167,0.08926
11.5,0.09285
11.5833,0.09635
11.6667,0.09974
11.75,0.103
11.8333,0.1061
11.9167,0.1091
12.0,0.112
12.0833,0.1146
12.1667,0.1171
12.25,0.1194
12.3333,0.1215
12.4167,0.1233
12.5,0.125
12.5833,0.1264
12.6667,0.1276
12.75,0.1286
12.8333,0.1293
12.9167,0.1298
13.0,0.13
13.0833,0.13
13.1667,0.1297
13.25,0.1292
13.3333,0.1285
13.4167,0.1275
13.5,0.1263
13.5833,0.1248
13.6667,0.1232
13.75,0.1213
13.8333,0.1192
13.9167,0.1169
14.0,0.1144
14.0833,0.1117
14.1667,0.1088
14.25,0.1058
14.3333,0.1027
14.4167,0.09941
14.5,0.09601
14.5833,0.09251
14.6667,0.08892
14.75,0.08524
14.8333,0.08151
14.9167,0.07774
15.0,0.07393
15.0833,0.07011
15.1667,0.06629
15.25,0.06248
15.3333,0.05871
15.4167,0.05498
15.5,0.05131
15.5833,0.04772
15.6667,0.04421
15.75,0.04079
15.8333,0.03749
15.9167,0.03431
16.0,0.03125
16.0833,0.02833
16.1667,0.02556
16.25,0.02294
16.3333,0.02048
16.4167,0.01817
16.5,0.01603
16.5833,0.01405
16.6667,0.01223
16.75,0.01057
16.8333,0.009071
16.9167,0.007724
17.0,0.006524
17.0833,0.005464
17.1667,0.004538
17.25,0.003735
17.3333,0.003046
17.4167,0.002461
17.5,0.001968
17.5833,0.001556
17.6667,0.001213
17.75,0.0009301
17.8333,0.0006968
17.9167,0.000506
18.0,0.0003466
18.0833,0.0002238
18.1667,0.0001323
18.25,6.836e-05
18.3333,2.886e-05
18.4167,9.124e-06
18.5,1.548e-06
18.5833,2.221e-08
18.6667,5.142e-12
18.75,2.964e-30
18.8333,0.0
18.9167,0.0
19.0,0.0
19.0833,0.0
19.1667,0.0
19.25,0.0
19.3333,0.0
19.4167,0.0
19.5,0.0
19.5833,0.0
19.6667,0.0
19.75,0.0
19.8333,0.0
19.9167,0.0
