Hour,Data
6.0,0.0
6.0833,0.0
6.1667,0.0
6.25,0.0
6.3333,0.0
6.4167,0.0
6.5,0.0
6.5833,0.0
6.6667,0.0
6.75,0.0
6.8333,0.0
6.9167,0.0
7.0,0.0
7.0833,0.0
7.1667,0.0
7.25,0.0
7.3333,2.098e-16
7.4167,1.772e-09
7.5,4.514e-07
7.5833,5.313e-06
7.6667,1.992e-05
7.75,5.252e-05
7.8333,0.0001086
7.9167,0.0001955
8.0,0.000307
8.0833,0.0004633
8.1667,0.0006506
8.25,0.0008828
8.3333,0.001168
8.4167,0.001515
8.5,0.001937
8.5833,0.002445
8.6667,0.003053
8.75,0.003773
8.8333,0.004617
8.9167,0.005596
9.0,0.006722
9.0833,0.008002
9.1667,0.009446
9.25,0.01106
9.3333,0.01285
9.4167,0.01482
9.5,0.01698
9.5833,0.01932
9.6667,0.02185
9.75,0.02456
9.8333,0.02746
9.9167,0.03054
10.0,0.03378
10.0833,0.0372
10.1667,0.04077
10.25,0.0445
10.3333,0.04837
10.4167,0.05236
10.5,0.05647
10.5833,0.06069
10.6667,0.06499
10.75,0.06937
10.8333,0.07381
10.9167,0.07829
11.0,0.0828
11.0833,0.08732
11.1667,0.09184
11.25,0.09633
11.3333,0.1008
11.4167,0.1052
11.5,0.1095
11.5833,0.1137
11.6667,0.1178
11.75,0.1218
11.8333,0.1257
11.9167,0.1294
12.0,0.133
12.0833,0.1363
12.1667,0.1395
12.25,0.1424
12.3333,0.1452
12.4167,0.1477
12.5,0.1499
12.5833,0.152
12.6667,0.1538
12.75,0.1553
12.8333,0.1565
12.9167,0.1574
13.0,0.1582
13.0833,0.1586
13.1667,0.1587
13.25,0.1585
13.3333,0.1581
13.4167,0.1574
13.5,0.1564
13.5833,0.1551
13.6667,0.1536
13.75,0.1518
13.8333,0.1498
13.9167,0.1475
14.0,0.145
14.0833,0.1422
14.1667,0.1393
14.25,0.1361
14.3333,0.1327
14.4167,0.1291
14.5,0.1254
14.5833,0.1216
14.6667,0.1175
14.75,0.1134
14.8333,0.1092
14.9167,0.1048
15.0,0.1004
15.0833,0.09599
15.1667,0.09149
15.25,0.08698
15.3333,0.08246
15.4167,0.07795
15.5,0.07347
15.5833,0.06903
15.6667,0.06466
15.75,0.06036
15.8333,0.05615
15.9167,0.05205
16.0,0.04807
16.0833,0.04421
16.1667,0.04049
16.25,0.03693
16.3333,0.03353
16.4167,0.03029
16.5,0.02723
16.5833,0.02435
16.6667,0.02165
16.75,0.01914
16.8333,0.01681
16.9167,0.01466
17.0,0.01271
17.0833,0.01093
17.1667,0.009329
17.25,0.007898
17.3333,0.00663
17.4167,0.005516
17.5,0.004548
17.5833,0.003714
17.6667,0.003003
17.75,0.002403
17.8333,0.001901
17.9167,0.001486
18.0,0.001144
18.0833,0.0008632
18.1667,0.0006348
18.25,0.0004507
18.3333,0.0002967
18.4167,0.0001897
18.5,0.000104
18.5833,4.885e-05
18.6667,1.822e-05
18.75,4.718e-06
18.8333,3.263e-07
18.9167,9.931e-10
19.0,9.727e-18
19.0833,0.0
19.1667,0.0
19.25,0.0
19.3333,0.0
19.4167,0.0
19.5,0.0
19.5833,0.0
19.6667,0.0
19.75,0.0
19.8333,0.0
19.9167,0.0
