Hour,Data
7.0,0.003976
7.0833,0.008401
7.1667,0.01519
7.25,0.02522
7.3333,0.0375
7.4167,0.05247
7.5,0.07011
7.5833,0.09052
7.6667,0.1138
7.75,0.1403
7.8333,0.1699
7.9167,0.203
8.0,0.2398
8.0833,0.2805
8.1667,0.3252
8.25,0.3742
8.3333,0.4276
8.4167,0.4856
8.5,0.5483
8.5833,0.6158
8.6667,0.6883
8.75,0.7659
8.8333,0.8486
8.9167,0.9364
9.0,1.029
9.0833,1.128
9.1667,1.231
9.25,1.339
9.3333,1.453
9.4167,1.571
9.5,1.693
9.5833,1.82
9.6667,1.952
9.75,2.088
9.8333,2.227
9.9167,2.37
10.0,2.516
10.0833,2.665
10.1667,2.816
10.25,2.969
10.3333,3.125
10.4167,3.281
10.5,3.439
10.5833,3.597
10.6667,3.755
10.75,3.913
10.8333,4.071
10.9167,4.226
11.0,4.381
11.0833,4.533
11.1667,4.683
11.25,4.829
11.3333,4.972
11.4167,5.112
11.5,5.247
11.5833,5.377
11.6667,5.502
11.75,5.621
11.8333,5.735
11.9167,5.841
12.0,5.944
12.0833,6.038
12.1667,6.125
12.25,6.205
12.3333,6.276
12.4167,6.341
12.5,6.393
12.5833,6.444
12.6667,6.483
12.75,6.514
12.8333,6.532
12.9167,6.549
13.0,6.554
13.0833,6.55
13.1667,6.532
13.25,6.514
13.3333,6.484
13.4167,6.445
13.5,6.395
13.5833,6.342
13.6667,6.278
13.75,6.206
13.8333,6.127
13.9167,6.04
14.0,5.946
14.0833,5.845
14.1667,5.737
14.25,5.624
14.3333,5.505
14.4167,5.38
14.5,5.25
14.5833,5.112
14.6667,4.975
14.75,4.832
14.8333,4.686
14.9167,4.536
15.0,4.384
15.0833,4.23
15.1667,4.074
15.25,3.917
15.3333,3.759
15.4167,3.601
15.5,3.443
15.5833,3.285
15.6667,3.128
15.75,2.973
15.8333,2.82
15.9167,2.668
16.0,2.519
16.0833,2.373
16.1667,2.23
16.25,2.091
16.3333,1.956
16.4167,1.824
16.5,1.697
16.5833,1.574
16.6667,1.456
16.75,1.342
16.8333,1.234
16.9167,1.131
17.0,1.032
17.0833,0.9392
17.1667,0.8512
17.25,0.7684
17.3333,0.6907
17.4167,0.6181
17.5,0.5504
17.5833,0.4876
17.6667,0.4295
17.75,0.376
17.8333,0.3269
17.9167,0.282
18.0,0.2413
18.0833,0.2044
18.1667,0.1711
18.25,0.1413
18.3333,0.1148
18.4167,0.09139
18.5,0.07089
18.5833,0.05315
18.6667,0.03809
18.75,0.0257
18.8333,0.01557
18.9167,0.00877
