Hour,Data
6.0,0.0
6.0833,0.0
6.1667,0.0
6.25,0.0
6.3333,0.0
6.4167,0.0
6.5,0.0
6.5833,0.0
6.6667,0.0
6.75,0.0
6.8333,0.0
6.9167,0.0
7.0,0.0
7.0833,8.746e-28
7.1667,2.22e-11
7.25,3.53e-08
7.3333,2.203e-06
7.4167,1.243e-05
7.5,3.866e-05
7.5833,9.128e-05
7.6667,0.000174
7.75,0.000294
7.8333,0.0004508
7.9167,0.0006397
8.0,0.0008752
8.0833,0.001164
8.1667,0.001518
8.25,0.001951
8.3333,0.00248
8.4167,0.003122
8.5,0.003893
8.5833,0.004813
8.6667,0.005897
8.75,0.00716
8.8333,0.008617
8.9167,0.01028
9.0,0.01217
9.0833,0.01428
9.1667,0.01663
9.25,0.01922
9.3333,0.02205
9.4167,0.02514
9.5,0.02847
9.5833,0.03204
9.6667,0.03586
9.75,0.0399
9.8333,0.04417
9.9167,0.04865
10.0,0.05334
10.0833,0.05821
10.1667,0.06326
10.25,0.06846
10.3333,0.0738
10.4167,0.07926
10.5,0.08483
10.5833,0.09047
10.6667,0.09618
10.75,0.1019
10.8333,0.1077
10.9167,0.1135
11.0,0.1192
11.0833,0.1249
11.1667,0.1306
11.25,0.1361
11.3333,0.1416
11.4167,0.1469
11.5,0.1521
11.5833,0.1571
11.6667,0.1619
11.75,0.1666
11.8333,0.171
11.9167,0.1751
12.0,0.179
12.0833,0.1827
12.1667,0.186
12.25,0.1892
12.3333,0.192
12.4167,0.1945
12.5,0.1966
12.5833,0.1985
12.6667,0.2
12.75,0.2012
12.8333,0.202
12.9167,0.2025
13.0,0.2026
13.0833,0.2023
13.1667,0.2018
13.25,0.2009
13.3333,0.1996
13.4167,0.198
13.5,0.1961
13.5833,0.1938
13.6667,0.1913
13.75,0.1883
13.8333,0.1851
13.9167,0.1818
14.0,0.178
14.0833,0.174
14.1667,0.1698
14.25,0.1653
14.3333,0.1606
14.4167,0.1557
14.5,0.1507
14.5833,0.1455
14.6667,0.1401
14.75,0.1346
14.8333,0.129
14.9167,0.1234
15.0,0.1177
15.0833,0.1119
15.1667,0.1061
15.25,0.1004
15.3333,0.09461
15.4167,0.08893
15.5,0.0833
15.5833,0.07776
15.6667,0.07233
15.75,0.06702
15.8333,0.06186
15.9167,0.05686
16.0,0.05204
16.0833,0.04741
16.1667,0.04299
16.25,0.03878
16.3333,0.03479
16.4167,0.03104
16.5,0.02754
16.5833,0.02427
16.6667,0.02126
16.75,0.01849
16.8333,0.01596
16.9167,0.01368
17.0,0.01163
17.0833,0.009806
17.1667,0.008199
17.25,0.006796
17.3333,0.005583
17.4167,0.004546
17.5,0.003669
17.5833,0.002934
17.6667,0.002325
17.75,0.001824
17.8333,0.001414
17.9167,0.001079
18.0,0.000806
18.0833,0.0005835
18.1667,0.0003987
18.25,0.0002547
18.3333,0.0001482
18.4167,7.388e-05
18.5,2.929e-05
18.5833,8.409e-06
18.6667,1.003e-06
18.75,7.287e-09
18.8333,3.985e-13
18.9167,0.0
19.0,0.0
19.0833,0.0
19.1667,0.0
19.25,0.0
19.3333,0.0
19.4167,0.0
19.5,0.0
19.5833,0.0
19.6667,0.0
19.75,0.0
19.8333,0.0
19.9167,0.0
