Hour,Data
6.0,0.0
6.0833,0.0
6.1667,0.0
6.25,0.0
6.3333,0.0
6.4167,0.0
6.5,0.0
6.5833,0.0
6.6667,0.0
6.75,0.0
6.8333,0.0
6.9167,0.0
7.0,0.0
7.0833,0.0
7.1667,0.0
7.25,4.233e-19
7.3333,8.111e-10
7.4167,3.342e-07
7.5,4.191e-06
7.5833,1.601e-05
7.6667,4.26e-05
7.75,8.949e-05
7.8333,0.0001625
7.9167,0.0002602
8.0,0.0003975
8.0833,0.0005651
8.1667,0.0007744
8.25,0.001032
8.3333,0.001347
8.4167,0.001727
8.5,0.002185
8.5833,0.002729
8.6667,0.003369
8.75,0.004116
8.8333,0.00498
8.9167,0.005967
9.0,0.007087
9.0833,0.008345
9.1667,0.009748
9.25,0.0113
9.3333,0.013
9.4167,0.01486
9.5,0.01688
9.5833,0.01905
9.6667,0.02138
9.75,0.02387
9.8333,0.02651
9.9167,0.0293
10.0,0.03223
10.0833,0.0353
10.1667,0.0385
10.25,0.04182
10.3333,0.04526
10.4167,0.04881
10.5,0.05245
10.5833,0.05618
10.6667,0.05998
10.75,0.06383
10.8333,0.06774
10.9167,0.07167
11.0,0.07563
11.0833,0.0796
11.1667,0.08356
11.25,0.08749
11.3333,0.09139
11.4167,0.09523
11.5,0.09901
11.5833,0.1027
11.6667,0.1063
11.75,0.1098
11.8333,0.1132
11.9167,0.1164
12.0,0.1195
12.0833,0.1224
12.1667,0.1252
12.25,0.1278
12.3333,0.1302
12.4167,0.1324
12.5,0.1343
12.5833,0.1361
12.6667,0.1377
12.75,0.139
12.8333,0.14
12.9167,0.1409
13.0,0.1414
13.0833,0.1418
13.1667,0.1419
13.25,0.1418
13.3333,0.1413
13.4167,0.1407
13.5,0.1398
13.5833,0.1387
13.6667,0.1374
13.75,0.1358
13.8333,0.134
13.9167,0.132
14.0,0.1297
14.0833,0.1273
14.1667,0.1247
14.25,0.1219
14.3333,0.1189
14.4167,0.1158
14.5,0.1125
14.5833,0.1091
14.6667,0.1056
14.75,0.102
14.8333,0.09828
14.9167,0.09449
15.0,0.09063
15.0833,0.08673
15.1667,0.08279
15.25,0.07883
15.3333,0.07486
15.4167,0.0709
15.5,0.06697
15.5833,0.06307
15.6667,0.05923
15.75,0.05544
15.8333,0.05174
15.9167,0.04811
16.0,0.04459
16.0833,0.04117
16.1667,0.03786
16.25,0.03469
16.3333,0.03165
16.4167,0.02874
16.5,0.02598
16.5833,0.02337
16.6667,0.02092
16.75,0.01862
16.8333,0.01647
16.9167,0.01449
17.0,0.01266
17.0833,0.01098
17.1667,0.009462
17.25,0.008089
17.3333,0.006858
17.4167,0.005765
17.5,0.004802
17.5833,0.003963
17.6667,0.003236
17.75,0.002615
17.8333,0.002089
17.9167,0.001648
18.0,0.001281
18.0833,0.0009779
18.1667,0.0007303
18.25,0.0005295
18.3333,0.0003696
18.4167,0.0002378
18.5,0.0001451
18.5833,7.881e-05
18.6667,3.633e-05
18.75,1.275e-05
18.8333,3.025e-06
18.9167,1.325e-07
19.0,1.322e-10
19.0833,3.052e-23
19.1667,0.0
19.25,0.0
19.3333,0.0
19.4167,0.0
19.5,0.0
19.5833,0.0
19.6667,0.0
19.75,0.0
19.8333,0.0
19.9167,0.0
